WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Maret
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyakit pada sistem saluran kemih dan genital;62
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;207
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;4
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;363
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;125
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;4
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.046
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;382
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;46
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;217
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;68
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;54
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;353
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;134
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;283
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;1.447
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;1.396
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;307
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;726
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;101
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;73
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;75
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;7
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;330
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;119
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;10
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.585
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;713
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;68
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;32
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;575
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;89
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;138
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;117
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;256
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;715
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;2.018
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;2.362
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;471
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;817
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;197
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;135
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;42
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;7
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;357
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;279
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;6
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;2.325
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;331
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;34
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;270
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;33
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;37
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;131
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;114
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;82
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;1.166
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;824
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;158
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;346
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;78
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;31
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;263
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;199
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;679
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;257
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;23
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;14
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;128
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;47
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;20
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;152
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;72
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;185
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;876
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;1.152
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;278
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;348
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;73
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;6
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;7
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;396
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;73
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;842
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;302
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;46
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;111
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;14
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;20
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;641
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;111
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;191
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;1.202
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;888
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;269
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;476
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;82
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;10
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;15
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;9
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;371
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;80
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;6
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.266
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;731
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;134
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;12
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Endokrin, nutrisi dan gangguan metabolik;1.059
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gangguan jiwa dan perilaku;201
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit yang mengenai sistem syaraf;244
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit mata dan adnexa;118
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit telinga dan mastoid;314
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem sirkulasi;1.409
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pernafasan;2.241
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pencernaan;2.008
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada kulit dan jaringan subcutaneous;588
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem musculoskletal;1.100
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem saluran kemih dan genital;262
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Kehamilan dan kelahiran;40
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Malformasi kongenital, deformasi dan kelainan chromosom;10
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;481
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keracunan, cedera dan beberapa penyebab yang dari luar;257
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyebab morbiditas dan kematian eksternal;20
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;2.716
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit Infeksi dan parasit;287
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Neoplasma;22
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;9
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Endokrin, nutrisi dan gangguan metabolik;231
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gangguan jiwa dan perilaku;48
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit yang mengenai sistem syaraf;64
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit mata dan adnexa;293
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit telinga dan mastoid;57
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem sirkulasi;199
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pernafasan;1.674
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pencernaan;1.233
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada kulit dan jaringan subcutaneous;230
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem musculoskletal;349
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem saluran kemih dan genital;93
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Kehamilan dan kelahiran;17
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;121
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keracunan, cedera dan beberapa penyebab yang dari luar;54
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyebab morbiditas dan kematian eksternal;4
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.340
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit Infeksi dan parasit;562
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Neoplasma;56
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;14
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Endokrin, nutrisi dan gangguan metabolik;306
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gangguan jiwa dan perilaku;53
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit yang mengenai sistem syaraf;180
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit mata dan adnexa;403
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit telinga dan mastoid;215
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem sirkulasi;447
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pernafasan;1.833
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pencernaan;1.214
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada kulit dan jaringan subcutaneous;404
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem musculoskletal;735
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem saluran kemih dan genital;131
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Kehamilan dan kelahiran;21
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keadaan yang berasal dari periode perinatal;2
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;403
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keracunan, cedera dan beberapa penyebab yang dari luar;160
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyebab morbiditas dan kematian eksternal;3
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;957
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit Infeksi dan parasit;973
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Neoplasma;81
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;30
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Endokrin, nutrisi dan gangguan metabolik;853
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gangguan jiwa dan perilaku;158
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit yang mengenai sistem syaraf;185
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit mata dan adnexa;92
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit telinga dan mastoid;248
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem sirkulasi;883
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pernafasan;2.507
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pencernaan;2.160
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada kulit dan jaringan subcutaneous;474
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem musculoskletal;1.091
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem saluran kemih dan genital;229
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Kehamilan dan kelahiran;22
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keadaan yang berasal dari periode perinatal;8
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Malformasi kongenital, deformasi dan kelainan chromosom;20
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;448
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keracunan, cedera dan beberapa penyebab yang dari luar;203
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;2.106
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit Infeksi dan parasit;347
Surabaya Utara;Bulak;Puskesmas Kenjeran;Neoplasma;36
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;4
Surabaya Utara;Bulak;Puskesmas Kenjeran;Endokrin, nutrisi dan gangguan metabolik;87
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gangguan jiwa dan perilaku;36
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit yang mengenai sistem syaraf;17
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit mata dan adnexa;148
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit telinga dan mastoid;88
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem sirkulasi;149
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pernafasan;780
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pencernaan;861
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada kulit dan jaringan subcutaneous;217
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem musculoskletal;284
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem saluran kemih dan genital;73
Surabaya Utara;Bulak;Puskesmas Kenjeran;Kehamilan dan kelahiran;53
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keadaan yang berasal dari periode perinatal;8
Surabaya Utara;Bulak;Puskesmas Kenjeran;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;428
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keracunan, cedera dan beberapa penyebab yang dari luar;91
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.533
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit Infeksi dan parasit;221
Surabaya Timur;Sukolilo;Puskesmas Keputih;Neoplasma;26
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;9
Surabaya Timur;Sukolilo;Puskesmas Keputih;Endokrin, nutrisi dan gangguan metabolik;313
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gangguan jiwa dan perilaku;87
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit yang mengenai sistem syaraf;41
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit mata dan adnexa;175
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit telinga dan mastoid;77
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem sirkulasi;248
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pernafasan;758
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pencernaan;344
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada kulit dan jaringan subcutaneous;194
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem musculoskletal;451
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem saluran kemih dan genital;88
Surabaya Timur;Sukolilo;Puskesmas Keputih;Kehamilan dan kelahiran;3
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keadaan yang berasal dari periode perinatal;6
Surabaya Timur;Sukolilo;Puskesmas Keputih;Malformasi kongenital, deformasi dan kelainan chromosom;6
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;302
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keracunan, cedera dan beberapa penyebab yang dari luar;105
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyebab morbiditas dan kematian eksternal;9
Surabaya Timur;Sukolilo;Puskesmas Keputih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;624
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit Infeksi dan parasit;411
Surabaya Pusat;Genteng;Puskesmas Ketabang;Neoplasma;39
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Pusat;Genteng;Puskesmas Ketabang;Endokrin, nutrisi dan gangguan metabolik;342
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gangguan jiwa dan perilaku;43
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit yang mengenai sistem syaraf;135
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit mata dan adnexa;228
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit telinga dan mastoid;129
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem sirkulasi;415
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pernafasan;1.514
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pencernaan;1.209
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada kulit dan jaringan subcutaneous;342
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem musculoskletal;839
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem saluran kemih dan genital;87
Surabaya Pusat;Genteng;Puskesmas Ketabang;Kehamilan dan kelahiran;24
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keadaan yang berasal dari periode perinatal;7
Surabaya Pusat;Genteng;Puskesmas Ketabang;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;259
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keracunan, cedera dan beberapa penyebab yang dari luar;102
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyebab morbiditas dan kematian eksternal;33
Surabaya Pusat;Genteng;Puskesmas Ketabang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.110
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit Infeksi dan parasit;352
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Neoplasma;42
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Endokrin, nutrisi dan gangguan metabolik;208
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gangguan jiwa dan perilaku;9
