WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Februari
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;3
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;90
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;104
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;755
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;107
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;14
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;0
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;111
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;18
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;11
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;39
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;35
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;22
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;395
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;290
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;57
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;119
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;27
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;1
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;104
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;59
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;186
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;75
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;6
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;4
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;41
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;15
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;10
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;58
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;29
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;53
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;275
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;358
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;85
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;103
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;25
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;3
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;140
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;25
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;277
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;104
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;0
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;30
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;6
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;174
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;38
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;77
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;416
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;249
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;80
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;149
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;20
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;107
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;24
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;394
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;253
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;37
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;8
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;309
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;67
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;83
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;29
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;87
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;413
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;747
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;673
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;175
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;332
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;86
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;165
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;76
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;917
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;64
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;7
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;73
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;16
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;9
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;89
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;11
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;50
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;386
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;357
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;62
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;103
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;24
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;0
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;38
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;12
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;398
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;165
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;17
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;101
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;8
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;60
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;140
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;65
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;132
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;601
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;337
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;115
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;234
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;43
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;0
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;129
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;58
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;254
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;298
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;22
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Endokrin, nutrisi dan gangguan metabolik;262
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gangguan jiwa dan perilaku;46
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit yang mengenai sistem syaraf;57
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit mata dan adnexa;31
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit telinga dan mastoid;67
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem sirkulasi;243
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pernafasan;791
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pencernaan;701
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada kulit dan jaringan subcutaneous;175
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem musculoskletal;347
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem saluran kemih dan genital;72
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Kehamilan dan kelahiran;7
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keadaan yang berasal dari periode perinatal;152
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Malformasi kongenital, deformasi dan kelainan chromosom;60
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;689
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keracunan, cedera dan beberapa penyebab yang dari luar;130
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyebab morbiditas dan kematian eksternal;15
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;4
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit Infeksi dan parasit;35
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Neoplasma;11
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Endokrin, nutrisi dan gangguan metabolik;61
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gangguan jiwa dan perilaku;31
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit yang mengenai sistem syaraf;35
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit mata dan adnexa;239
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit telinga dan mastoid;286
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem sirkulasi;77
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pernafasan;93
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pencernaan;20
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada kulit dan jaringan subcutaneous;2
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem musculoskletal;133
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem saluran kemih dan genital;29
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Kehamilan dan kelahiran;469
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keadaan yang berasal dari periode perinatal;68
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;3
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keracunan, cedera dan beberapa penyebab yang dari luar;101
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyebab morbiditas dan kematian eksternal;29
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;10
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit Infeksi dan parasit;48
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Neoplasma;24
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;85
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Endokrin, nutrisi dan gangguan metabolik;230
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gangguan jiwa dan perilaku;111
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit yang mengenai sistem syaraf;77
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit mata dan adnexa;139
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit telinga dan mastoid;26
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem sirkulasi;2
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pernafasan;93
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pencernaan;23
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada kulit dan jaringan subcutaneous;176
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem musculoskletal;124
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem saluran kemih dan genital;7
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Kehamilan dan kelahiran;3
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keadaan yang berasal dari periode perinatal;95
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Malformasi kongenital, deformasi dan kelainan chromosom;15
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;51
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keracunan, cedera dan beberapa penyebab yang dari luar;64
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyebab morbiditas dan kematian eksternal;37
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;118
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit Infeksi dan parasit;455
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Neoplasma;398
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;104
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Endokrin, nutrisi dan gangguan metabolik;257
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gangguan jiwa dan perilaku;28
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit yang mengenai sistem syaraf;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit mata dan adnexa;83
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit telinga dan mastoid;33
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem sirkulasi;249
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pernafasan;110
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pencernaan;19
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada kulit dan jaringan subcutaneous;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem musculoskletal;62
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem saluran kemih dan genital;3
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Kehamilan dan kelahiran;12
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keadaan yang berasal dari periode perinatal;69
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Malformasi kongenital, deformasi dan kelainan chromosom;55
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;40
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keracunan, cedera dan beberapa penyebab yang dari luar;394
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyebab morbiditas dan kematian eksternal;322
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;90
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit Infeksi dan parasit;103
Surabaya Utara;Bulak;Puskesmas Kenjeran;Neoplasma;26
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Endokrin, nutrisi dan gangguan metabolik;104
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gangguan jiwa dan perilaku;41
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit yang mengenai sistem syaraf;245
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit mata dan adnexa;116
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit telinga dan mastoid;12
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem sirkulasi;8
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pernafasan;45
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pencernaan;8
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada kulit dan jaringan subcutaneous;53
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem musculoskletal;48
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem saluran kemih dan genital;42
Surabaya Utara;Bulak;Puskesmas Kenjeran;Kehamilan dan kelahiran;53
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keadaan yang berasal dari periode perinatal;463
Surabaya Utara;Bulak;Puskesmas Kenjeran;Malformasi kongenital, deformasi dan kelainan chromosom;410
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;153
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keracunan, cedera dan beberapa penyebab yang dari luar;195
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyebab morbiditas dan kematian eksternal;21
Surabaya Utara;Bulak;Puskesmas Kenjeran;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit Infeksi dan parasit;93
Surabaya Timur;Sukolilo;Puskesmas Keputih;Neoplasma;33
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;308
Surabaya Timur;Sukolilo;Puskesmas Keputih;Endokrin, nutrisi dan gangguan metabolik;88
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gangguan jiwa dan perilaku;9
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit yang mengenai sistem syaraf;2
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit mata dan adnexa;25
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit telinga dan mastoid;4
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem sirkulasi;4
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pernafasan;64
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pencernaan;22
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada kulit dan jaringan subcutaneous;24
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem musculoskletal;434
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem saluran kemih dan genital;244
Surabaya Timur;Sukolilo;Puskesmas Keputih;Kehamilan dan kelahiran;87
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keadaan yang berasal dari periode perinatal;188
Surabaya Timur;Sukolilo;Puskesmas Keputih;Malformasi kongenital, deformasi dan kelainan chromosom;16
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keracunan, cedera dan beberapa penyebab yang dari luar;137
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyebab morbiditas dan kematian eksternal;47
Surabaya Timur;Sukolilo;Puskesmas Keputih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;291
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit Infeksi dan parasit;122
Surabaya Pusat;Genteng;Puskesmas Ketabang;Neoplasma;24
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Pusat;Genteng;Puskesmas Ketabang;Endokrin, nutrisi dan gangguan metabolik;129
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gangguan jiwa dan perilaku;23
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit yang mengenai sistem syaraf;28
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit mata dan adnexa;61
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit telinga dan mastoid;37
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem sirkulasi;93
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pernafasan;430
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pencernaan;325
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada kulit dan jaringan subcutaneous;81
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem musculoskletal;187
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem saluran kemih dan genital;50
Surabaya Pusat;Genteng;Puskesmas Ketabang;Kehamilan dan kelahiran;3
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keadaan yang berasal dari periode perinatal;141
Surabaya Pusat;Genteng;Puskesmas Ketabang;Malformasi kongenital, deformasi dan kelainan chromosom;20
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;409
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keracunan, cedera dan beberapa penyebab yang dari luar;33
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyebab morbiditas dan kematian eksternal;8
Surabaya Pusat;Genteng;Puskesmas Ketabang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;8
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit Infeksi dan parasit;71
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Neoplasma;12
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;56
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Endokrin, nutrisi dan gangguan metabolik;48
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gangguan jiwa dan perilaku;15
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit yang mengenai sistem syaraf;56
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit mata dan adnexa;282
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit telinga dan mastoid;339
