WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;Mei
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;94
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;98
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;29
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;381
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;127
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;12
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;78
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;29
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;13
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;126
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;41
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;121
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;547
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;509
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;118
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;231
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;31
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;34
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;27
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;125
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;62
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;747
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;230
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;21
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;8
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;192
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;13
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;40
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;47
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;84
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;251
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;667
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;836
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;137
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;230
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;53
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;39
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;20
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;145
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;100
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;3
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;702
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;90
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;15
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;125
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;20
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;7
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;51
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;32
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;38
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;367
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;337
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;52
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;137
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;30
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;12
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;94
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;60
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;279
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;67
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;20
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;51
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;10
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;10
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;84
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;26
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;72
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;301
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;468
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;109
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;132
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;35
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;145
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;20
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;1
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;274
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;126
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;14
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;86
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;19
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;191
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;62
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;101
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;516
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;352
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;119
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;187
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;33
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;10
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;8
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;174
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;58
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;400
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;243
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;35
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Endokrin, nutrisi dan gangguan metabolik;117
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gangguan jiwa dan perilaku;39
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit yang mengenai sistem syaraf;58
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit mata dan adnexa;40
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit telinga dan mastoid;105
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem sirkulasi;276
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pernafasan;733
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pencernaan;755
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada kulit dan jaringan subcutaneous;212
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem musculoskletal;300
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem saluran kemih dan genital;76
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Kehamilan dan kelahiran;17
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keadaan yang berasal dari periode perinatal;4
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;171
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keracunan, cedera dan beberapa penyebab yang dari luar;79
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyebab morbiditas dan kematian eksternal;2
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;1.024
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit Infeksi dan parasit;125
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Neoplasma;9
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Endokrin, nutrisi dan gangguan metabolik;52
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gangguan jiwa dan perilaku;18
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit yang mengenai sistem syaraf;19
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit mata dan adnexa;71
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit telinga dan mastoid;29
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem sirkulasi;54
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pernafasan;556
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pencernaan;534
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada kulit dan jaringan subcutaneous;90
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem musculoskletal;143
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem saluran kemih dan genital;37
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Kehamilan dan kelahiran;5
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;37
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keracunan, cedera dan beberapa penyebab yang dari luar;17
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyebab morbiditas dan kematian eksternal;3
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;575
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit Infeksi dan parasit;185
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Neoplasma;18
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Endokrin, nutrisi dan gangguan metabolik;80
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gangguan jiwa dan perilaku;13
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit yang mengenai sistem syaraf;56
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit mata dan adnexa;109
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit telinga dan mastoid;71
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem sirkulasi;89
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pernafasan;547
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pencernaan;381
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada kulit dan jaringan subcutaneous;111
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem musculoskletal;191
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem saluran kemih dan genital;49
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Kehamilan dan kelahiran;7
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keadaan yang berasal dari periode perinatal;4
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;124
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keracunan, cedera dan beberapa penyebab yang dari luar;57
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyebab morbiditas dan kematian eksternal;0
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;319
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit Infeksi dan parasit;238
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Neoplasma;20
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Endokrin, nutrisi dan gangguan metabolik;184
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gangguan jiwa dan perilaku;28
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit yang mengenai sistem syaraf;48
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit mata dan adnexa;47
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit telinga dan mastoid;87
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem sirkulasi;207
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pernafasan;696
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pencernaan;800
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada kulit dan jaringan subcutaneous;141
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem musculoskletal;336
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem saluran kemih dan genital;56
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Kehamilan dan kelahiran;6
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keadaan yang berasal dari periode perinatal;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;140
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keracunan, cedera dan beberapa penyebab yang dari luar;48
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;699
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit Infeksi dan parasit;91
Surabaya Utara;Bulak;Puskesmas Kenjeran;Neoplasma;9
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Utara;Bulak;Puskesmas Kenjeran;Endokrin, nutrisi dan gangguan metabolik;47
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gangguan jiwa dan perilaku;13
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit yang mengenai sistem syaraf;11
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit mata dan adnexa;48
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit telinga dan mastoid;27
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem sirkulasi;65
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pernafasan;212
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pencernaan;306
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada kulit dan jaringan subcutaneous;64
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem musculoskletal;89
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem saluran kemih dan genital;26
Surabaya Utara;Bulak;Puskesmas Kenjeran;Kehamilan dan kelahiran;17
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keadaan yang berasal dari periode perinatal;6
Surabaya Utara;Bulak;Puskesmas Kenjeran;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;108
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keracunan, cedera dan beberapa penyebab yang dari luar;34
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;559
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit Infeksi dan parasit;92
Surabaya Timur;Sukolilo;Puskesmas Keputih;Neoplasma;10
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Timur;Sukolilo;Puskesmas Keputih;Endokrin, nutrisi dan gangguan metabolik;162
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gangguan jiwa dan perilaku;18
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit yang mengenai sistem syaraf;8
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit mata dan adnexa;74
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit telinga dan mastoid;28
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem sirkulasi;87
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pernafasan;260
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pencernaan;135
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada kulit dan jaringan subcutaneous;75
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem musculoskletal;148
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem saluran kemih dan genital;37
Surabaya Timur;Sukolilo;Puskesmas Keputih;Kehamilan dan kelahiran;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Sukolilo;Puskesmas Keputih;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;104
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keracunan, cedera dan beberapa penyebab yang dari luar;41
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyebab morbiditas dan kematian eksternal;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;253
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit Infeksi dan parasit;125
Surabaya Pusat;Genteng;Puskesmas Ketabang;Neoplasma;17
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Pusat;Genteng;Puskesmas Ketabang;Endokrin, nutrisi dan gangguan metabolik;133
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gangguan jiwa dan perilaku;12
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit yang mengenai sistem syaraf;40
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit mata dan adnexa;96
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit telinga dan mastoid;53
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem sirkulasi;143
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pernafasan;523
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pencernaan;440
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada kulit dan jaringan subcutaneous;117
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem musculoskletal;335
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem saluran kemih dan genital;15
Surabaya Pusat;Genteng;Puskesmas Ketabang;Kehamilan dan kelahiran;11
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keadaan yang berasal dari periode perinatal;0
Surabaya Pusat;Genteng;Puskesmas Ketabang;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;68
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keracunan, cedera dan beberapa penyebab yang dari luar;27
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyebab morbiditas dan kematian eksternal;12
Surabaya Pusat;Genteng;Puskesmas Ketabang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;301
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit Infeksi dan parasit;115
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Neoplasma;12
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Endokrin, nutrisi dan gangguan metabolik;97
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gangguan jiwa dan perilaku;8
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit yang mengenai sistem syaraf;13
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit mata dan adnexa;80
