WILAYAH;KECAMATAN;NAMA FASKES (Rumah Sakit dan Puskesmas);Jenis Penyakit;November
Surabaya Pusat;Bubutan;Puskesmas Gundih;Kehamilan dan kelahiran;60
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keadaan yang berasal dari periode perinatal;2
Surabaya Pusat;Bubutan;Puskesmas Gundih;Malformasi kongenital, deformasi dan kelainan chromosom;0
Surabaya Pusat;Bubutan;Puskesmas Gundih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;187
Surabaya Pusat;Bubutan;Puskesmas Gundih;Keracunan, cedera dan beberapa penyebab yang dari luar;37
Surabaya Pusat;Bubutan;Puskesmas Gundih;Penyebab morbiditas dan kematian eksternal;3
Surabaya Pusat;Bubutan;Puskesmas Gundih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;327
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit Infeksi dan parasit;168
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Neoplasma;13
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Endokrin, nutrisi dan gangguan metabolik;88
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gangguan jiwa dan perilaku;12
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit yang mengenai sistem syaraf;14
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit mata dan adnexa;95
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit telinga dan mastoid;36
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem sirkulasi;146
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pernafasan;538
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem pencernaan;545
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada kulit dan jaringan subcutaneous;156
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem musculoskletal;329
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyakit pada sistem saluran kemih dan genital;54
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Kehamilan dan kelahiran;25
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keadaan yang berasal dari periode perinatal;12
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;218
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Keracunan, cedera dan beberapa penyebab yang dari luar;100
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Penyebab morbiditas dan kematian eksternal;4
Surabaya Timur;Gunung Anyar;Puskesmas Gunung Anyar;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;723
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit Infeksi dan parasit;228
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Neoplasma;33
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;7
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Endokrin, nutrisi dan gangguan metabolik;236
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gangguan jiwa dan perilaku;21
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit yang mengenai sistem syaraf;45
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit mata dan adnexa;38
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit telinga dan mastoid;62
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem sirkulasi;231
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pernafasan;493
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem pencernaan;975
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada kulit dan jaringan subcutaneous;163
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem musculoskletal;214
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyakit pada sistem saluran kemih dan genital;51
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Kehamilan dan kelahiran;30
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keadaan yang berasal dari periode perinatal;26
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;144
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Keracunan, cedera dan beberapa penyebab yang dari luar;71
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Wonokromo;Puskesmas Jagir;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;817
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit Infeksi dan parasit;73
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Neoplasma;10
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Endokrin, nutrisi dan gangguan metabolik;97
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gangguan jiwa dan perilaku;1
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit yang mengenai sistem syaraf;7
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit mata dan adnexa;50
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit telinga dan mastoid;33
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem sirkulasi;30
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pernafasan;190
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem pencernaan;279
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada kulit dan jaringan subcutaneous;54
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem musculoskletal;84
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyakit pada sistem saluran kemih dan genital;25
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Kehamilan dan kelahiran;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keadaan yang berasal dari periode perinatal;3
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Malformasi kongenital, deformasi dan kelainan chromosom;2
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;51
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Keracunan, cedera dan beberapa penyebab yang dari luar;39
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Wonocolo;Puskesmas Jemursari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;239
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit Infeksi dan parasit;111
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Neoplasma;14
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Endokrin, nutrisi dan gangguan metabolik;52
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gangguan jiwa dan perilaku;13
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit yang mengenai sistem syaraf;3
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit mata dan adnexa;69
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit telinga dan mastoid;49
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem sirkulasi;70
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pernafasan;416
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem pencernaan;400
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada kulit dan jaringan subcutaneous;160
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem musculoskletal;233
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyakit pada sistem saluran kemih dan genital;38
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Kehamilan dan kelahiran;5
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keadaan yang berasal dari periode perinatal;2
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Keracunan, cedera dan beberapa penyebab yang dari luar;24
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Penyebab morbiditas dan kematian eksternal;0
Surabaya Barat;Lakarsantri;Puskesmas Jeruk;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;216
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit Infeksi dan parasit;118
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Neoplasma;13
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Endokrin, nutrisi dan gangguan metabolik;94
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gangguan jiwa dan perilaku;3
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit yang mengenai sistem syaraf;21
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit mata dan adnexa;155
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit telinga dan mastoid;63
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem sirkulasi;67
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pernafasan;420
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem pencernaan;382
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada kulit dan jaringan subcutaneous;166
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem musculoskletal;184
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyakit pada sistem saluran kemih dan genital;48
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Kehamilan dan kelahiran;10
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keadaan yang berasal dari periode perinatal;4
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;147
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Keracunan, cedera dan beberapa penyebab yang dari luar;60
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Penyebab morbiditas dan kematian eksternal;5
Surabaya Timur;Mulyorejo;Puskesmas Kalijudan;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;370
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit Infeksi dan parasit;243
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Neoplasma;33
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Endokrin, nutrisi dan gangguan metabolik;120
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gangguan jiwa dan perilaku;34
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit yang mengenai sistem syaraf;52
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit mata dan adnexa;50
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit telinga dan mastoid;96
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem sirkulasi;114
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pernafasan;720
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem pencernaan;714
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada kulit dan jaringan subcutaneous;267
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem musculoskletal;273
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyakit pada sistem saluran kemih dan genital;58
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Kehamilan dan kelahiran;1
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keadaan yang berasal dari periode perinatal;2
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;181
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Keracunan, cedera dan beberapa penyebab yang dari luar;110
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Penyebab morbiditas dan kematian eksternal;1
Surabaya Timur;Rungkut;Puskesmas Kalirungkut;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;878
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit Infeksi dan parasit;135
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Neoplasma;7
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Endokrin, nutrisi dan gangguan metabolik;55
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gangguan jiwa dan perilaku;16
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit yang mengenai sistem syaraf;21
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit mata dan adnexa;77
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit telinga dan mastoid;45
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem sirkulasi;58
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pernafasan;461
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem pencernaan;505
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada kulit dan jaringan subcutaneous;136
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem musculoskletal;137
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyakit pada sistem saluran kemih dan genital;38
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Kehamilan dan kelahiran;2
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;58
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Keracunan, cedera dan beberapa penyebab yang dari luar;32
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Penyebab morbiditas dan kematian eksternal;0
Surabaya Selatan;Jambangan;Puskesmas Kebonsari;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;260
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit Infeksi dan parasit;172
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Neoplasma;17
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;6
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Endokrin, nutrisi dan gangguan metabolik;115
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gangguan jiwa dan perilaku;11
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit yang mengenai sistem syaraf;42
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit mata dan adnexa;112
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit telinga dan mastoid;94
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem sirkulasi;102
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pernafasan;436
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem pencernaan;518
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada kulit dan jaringan subcutaneous;185
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem musculoskletal;215
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyakit pada sistem saluran kemih dan genital;53
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Kehamilan dan kelahiran;14
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keadaan yang berasal dari periode perinatal;4
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;118
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Keracunan, cedera dan beberapa penyebab yang dari luar;69
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Penyebab morbiditas dan kematian eksternal;1
Surabaya Pusat;Tegalsari;Puskesmas Kedungdoro;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;332
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit Infeksi dan parasit;317
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Neoplasma;33
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Endokrin, nutrisi dan gangguan metabolik;166
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gangguan jiwa dan perilaku;19
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit yang mengenai sistem syaraf;42
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit mata dan adnexa;31
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit telinga dan mastoid;103
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem sirkulasi;175
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pernafasan;744
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem pencernaan;928
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada kulit dan jaringan subcutaneous;259
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem musculoskletal;374
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyakit pada sistem saluran kemih dan genital;112
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Kehamilan dan kelahiran;8
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keadaan yang berasal dari periode perinatal;2
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Malformasi kongenital, deformasi dan kelainan chromosom;5
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;156
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Keracunan, cedera dan beberapa penyebab yang dari luar;55
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Penyebab morbiditas dan kematian eksternal;1
Surabaya Selatan;Karang Pilang;Puskesmas Kedurus;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;560
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit Infeksi dan parasit;128
Surabaya Utara;Bulak;Puskesmas Kenjeran;Neoplasma;14
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;1
Surabaya Utara;Bulak;Puskesmas Kenjeran;Endokrin, nutrisi dan gangguan metabolik;47
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gangguan jiwa dan perilaku;10
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit yang mengenai sistem syaraf;9
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit mata dan adnexa;69
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit telinga dan mastoid;33
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem sirkulasi;75
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pernafasan;259
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem pencernaan;329
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada kulit dan jaringan subcutaneous;110
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem musculoskletal;127
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyakit pada sistem saluran kemih dan genital;28
Surabaya Utara;Bulak;Puskesmas Kenjeran;Kehamilan dan kelahiran;30
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keadaan yang berasal dari periode perinatal;6
Surabaya Utara;Bulak;Puskesmas Kenjeran;Malformasi kongenital, deformasi dan kelainan chromosom;1
Surabaya Utara;Bulak;Puskesmas Kenjeran;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;172
Surabaya Utara;Bulak;Puskesmas Kenjeran;Keracunan, cedera dan beberapa penyebab yang dari luar;31
Surabaya Utara;Bulak;Puskesmas Kenjeran;Penyebab morbiditas dan kematian eksternal;2
Surabaya Utara;Bulak;Puskesmas Kenjeran;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;721
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit Infeksi dan parasit;117
Surabaya Timur;Sukolilo;Puskesmas Keputih;Neoplasma;17
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;5
Surabaya Timur;Sukolilo;Puskesmas Keputih;Endokrin, nutrisi dan gangguan metabolik;142
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gangguan jiwa dan perilaku;11
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit yang mengenai sistem syaraf;12
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit mata dan adnexa;74
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit telinga dan mastoid;38
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem sirkulasi;67
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pernafasan;342
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem pencernaan;221
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada kulit dan jaringan subcutaneous;111
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem musculoskletal;117
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyakit pada sistem saluran kemih dan genital;25
Surabaya Timur;Sukolilo;Puskesmas Keputih;Kehamilan dan kelahiran;1
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keadaan yang berasal dari periode perinatal;4
Surabaya Timur;Sukolilo;Puskesmas Keputih;Malformasi kongenital, deformasi dan kelainan chromosom;4
Surabaya Timur;Sukolilo;Puskesmas Keputih;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;144
Surabaya Timur;Sukolilo;Puskesmas Keputih;Keracunan, cedera dan beberapa penyebab yang dari luar;47
Surabaya Timur;Sukolilo;Puskesmas Keputih;Penyebab morbiditas dan kematian eksternal;3
Surabaya Timur;Sukolilo;Puskesmas Keputih;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;278
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit Infeksi dan parasit;168
Surabaya Pusat;Genteng;Puskesmas Ketabang;Neoplasma;20
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0
Surabaya Pusat;Genteng;Puskesmas Ketabang;Endokrin, nutrisi dan gangguan metabolik;103
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gangguan jiwa dan perilaku;11
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit yang mengenai sistem syaraf;43
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit mata dan adnexa;62
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit telinga dan mastoid;62
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem sirkulasi;143
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pernafasan;498
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem pencernaan;483
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada kulit dan jaringan subcutaneous;183
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem musculoskletal;302
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyakit pada sistem saluran kemih dan genital;28
Surabaya Pusat;Genteng;Puskesmas Ketabang;Kehamilan dan kelahiran;13
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keadaan yang berasal dari periode perinatal;3
Surabaya Pusat;Genteng;Puskesmas Ketabang;Malformasi kongenital, deformasi dan kelainan chromosom;3
Surabaya Pusat;Genteng;Puskesmas Ketabang;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;66
Surabaya Pusat;Genteng;Puskesmas Ketabang;Keracunan, cedera dan beberapa penyebab yang dari luar;37
Surabaya Pusat;Genteng;Puskesmas Ketabang;Penyebab morbiditas dan kematian eksternal;7
Surabaya Pusat;Genteng;Puskesmas Ketabang;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;355
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit Infeksi dan parasit;124
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Neoplasma;9
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;2
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Endokrin, nutrisi dan gangguan metabolik;116
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Gangguan jiwa dan perilaku;6
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit yang mengenai sistem syaraf;43
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit mata dan adnexa;89
Surabaya Timur;Sukolilo;Puskesmas Klampis Ngasem;Penyakit telinga dan mastoid;36
